trend,label,model,train_rmse,test_rmse,peak_month,n_train,n_total,good_fit
Fairycore,Macro,Bass,0.1869,0.3446,19.9,34,76,False
EMOfashio,Macro,Bass,0.3353,0.056,21.9,113,252,True
Bomber jacket,Macro,LogNormal,0.0553,0.4364,99.3,105,235,False
y2kaesthetic,Macro,Bass,0.2996,0.3311,0.0,99,222,False
disco fashion,Macro,Bass,0.454,0.3981,41.9,109,244,False
Cottagecore,Macro,Bass,0.121,0.3345,1.3,112,249,False
Euphoriafashion,Macro,LogNormal,0.1595,0.0925,33.7,37,83,True
mini skirts,Macro,Bass,0.2569,0.1054,20.7,120,268,True
PENDULUMTOPS,Macro,Bass,0.3371,0.2533,22.0,77,172,False
chokers,Macro,LogNormal,0.0182,0.2597,132.3,118,264,False
Cleangirl,Macro,LogNormal,0.1694,0.4389,12.7,22,51,False
Darkacademia,Macro,Bass,0.2812,0.3089,17.7,34,77,False
Normcore,Macro,Bass,0.4216,0.1842,8.4,67,149,False
Bikeshorts,Macro,LogNormal,0.0877,0.2529,89.1,112,251,False
tiedye,Macro,LogNormal,0.0324,0.2048,113.3,120,268,False
SKINNYJEANS,Mega,Bass,0.4351,0.4959,59.1,100,251,False
jeggins,Mega,Bass,0.4136,0.604,43.0,82,206,False
INDIE,Mega,Bass,0.31,0.1196,35.9,99,249,True
Tumblr Grunge,Mega,Bass,0.1515,0.0443,41.0,69,174,True
ripepdjeans,Mega,Bass,0.7601,0.452,56.7,107,268,False
flaredjeans,Mega,LogNormal,0.0368,0.3771,134.4,105,263,False
hipster fashion,Mega,Bass,0.1969,0.1717,42.3,77,194,False
MAXI dress,Mega,Bass,0.4391,0.5061,61.4,92,231,False
Skaterfashion,Mega,Bass,0.2053,0.2481,31.0,71,179,False
streetwear,Mega,Bass,0.2636,0.4391,25.2,107,268,False
MOMJEANS,Mega,Bass,0.4865,0.4216,39.0,62,155,False
TUMBLR,Mega,Bass,0.1888,0.2495,33.3,55,139,False
Pastelgrunge,Mega,Bass,0.2446,0.0964,39.2,68,171,True
70sfashion,Mega,Bass,0.4365,0.4461,29.3,106,267,False
boyfriend jeans,Mega,Bass,0.4805,0.5259,59.1,96,240,False
barbiecore,Micro,LogNormal,0.1311,0.0696,14.8,24,48,True
officesiren,Micro,Bass,0.2131,0.251,2.2,70,141,False
softgirlaesthetic,Micro,Bass,0.3075,0.0459,18.8,43,86,True
SCENEFASHION,Micro,LogNormal,0.1531,0.1234,61.3,133,267,False
chunkyshoes,Micro,Bass,0.5317,0.3089,24.2,51,103,False
coastalgrandmother,Micro,LogNormal,0.0774,0.2058,5.9,25,51,False
goblincore,Micro,Bass,0.3111,0.291,18.6,37,75,False
vsco,Micro,Bass,0.3338,0.0388,0.0,42,85,True
ivyleague,Micro,Bass,0.2325,0.0401,0.0,94,188,True
bimbocore,Micro,Bass,0.5021,0.0333,26.8,130,261,True
Brat summer,Micro,Bass,0.2322,0.0485,2.6,12,24,True
galaxyprint,Micro,LogNormal,0.0103,0.1065,40.2,87,175,True
blokecore,Micro,Bass,0.5656,0.1461,3.1,25,51,False
BuisnessCausal,Micro,Bass,0.0837,0.0341,1.5,131,262,True
teddycoat,Micro,Bass,0.5522,0.1503,23.7,53,106,False
