Date,"Cottagecore"
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,188
2020-05,4633
2020-06,17881
2020-07,45213
2020-08,52825
2020-09,35540
2020-10,25794
2020-11,28991
2020-12,44499
2021-01,28441
2021-02,26971
2021-03,31378
2021-04,26316
2021-05,33524
2021-06,25035
2021-07,26483
2021-08,26903
2021-09,27852
2021-10,23088
2021-11,18194
2021-12,19421
2022-01,26577
2022-02,16467
2022-03,17446
2022-04,17833
2022-05,24299
2022-06,18443
2022-07,18760
2022-08,19393
2022-09,18840
2022-10,22031
2022-11,22327
2022-12,25037
2023-01,22050
2023-02,17593
2023-03,19490
2023-04,18261
2023-05,19399
2023-06,17187
2023-07,20059
2023-08,21844
2023-09,19377
2023-10,18394
2023-11,16290
2023-12,19706
2024-01,19048
2024-02,17692
2024-03,19384
2024-04,17919
2024-05,14977
2024-06,13238
2024-07,14013
2024-08,15111
2024-09,13907
2024-10,14147
2024-11,12149
2024-12,12171
2025-01,11940
2025-02,9062
2025-03,11986
2025-04,9203
2025-05,9111
2025-06,9016
2025-07,11444
2025-08,8816
2025-09,8292
2025-10,10173
2025-11,8176
2025-12,17207
2026-01,8686
2026-02,8373
2026-03,8562
