date,value_raw,value_norm,trend_name
2004-01-01,0,0.0,70sfashion
2004-02-01,0,0.0,70sfashion
2004-03-01,0,0.0,70sfashion
2004-04-01,67,0.67,70sfashion
2004-05-01,0,0.0,70sfashion
2004-06-01,94,0.94,70sfashion
2004-07-01,0,0.0,70sfashion
2004-08-01,0,0.0,70sfashion
2004-09-01,49,0.49,70sfashion
2004-10-01,87,0.87,70sfashion
2004-11-01,61,0.61,70sfashion
2004-12-01,48,0.48,70sfashion
2005-01-01,79,0.79,70sfashion
2005-02-01,75,0.75,70sfashion
2005-03-01,40,0.4,70sfashion
2005-04-01,38,0.38,70sfashion
2005-05-01,55,0.55,70sfashion
2005-06-01,54,0.54,70sfashion
2005-07-01,36,0.36,70sfashion
2005-08-01,38,0.38,70sfashion
2005-09-01,33,0.33,70sfashion
2005-10-01,57,0.57,70sfashion
2005-11-01,58,0.58,70sfashion
2005-12-01,55,0.55,70sfashion
2006-01-01,44,0.44,70sfashion
2006-02-01,47,0.47,70sfashion
2006-03-01,39,0.39,70sfashion
2006-04-01,51,0.51,70sfashion
2006-05-01,45,0.45,70sfashion
2006-06-01,54,0.54,70sfashion
2006-07-01,41,0.41,70sfashion
2006-08-01,0,0.0,70sfashion
2006-09-01,32,0.32,70sfashion
2006-10-01,40,0.4,70sfashion
2006-11-01,47,0.47,70sfashion
2006-12-01,45,0.45,70sfashion
2007-01-01,37,0.37,70sfashion
2007-02-01,33,0.33,70sfashion
2007-03-01,48,0.48,70sfashion
2007-04-01,39,0.39,70sfashion
2007-05-01,58,0.58,70sfashion
2007-06-01,59,0.59,70sfashion
2007-07-01,43,0.43,70sfashion
2007-08-01,37,0.37,70sfashion
2007-09-01,60,0.6,70sfashion
2007-10-01,41,0.41,70sfashion
2007-11-01,43,0.43,70sfashion
2007-12-01,36,0.36,70sfashion
2008-01-01,44,0.44,70sfashion
2008-02-01,31,0.31,70sfashion
2008-03-01,40,0.4,70sfashion
2008-04-01,29,0.29,70sfashion
2008-05-01,23,0.23,70sfashion
2008-06-01,42,0.42,70sfashion
2008-07-01,22,0.22,70sfashion
2008-08-01,30,0.3,70sfashion
2008-09-01,44,0.44,70sfashion
2008-10-01,40,0.4,70sfashion
2008-11-01,43,0.43,70sfashion
2008-12-01,33,0.33,70sfashion
2009-01-01,40,0.4,70sfashion
2009-02-01,31,0.31,70sfashion
2009-03-01,37,0.37,70sfashion
2009-04-01,29,0.29,70sfashion
2009-05-01,35,0.35,70sfashion
2009-06-01,39,0.39,70sfashion
2009-07-01,26,0.26,70sfashion
2009-08-01,23,0.23,70sfashion
2009-09-01,30,0.3,70sfashion
2009-10-01,30,0.3,70sfashion
2009-11-01,28,0.28,70sfashion
2009-12-01,23,0.23,70sfashion
2010-01-01,27,0.27,70sfashion
2010-02-01,33,0.33,70sfashion
2010-03-01,26,0.26,70sfashion
2010-04-01,27,0.27,70sfashion
2010-05-01,42,0.42,70sfashion
2010-06-01,22,0.22,70sfashion
2010-07-01,28,0.28,70sfashion
2010-08-01,13,0.13,70sfashion
2010-09-01,26,0.26,70sfashion
2010-10-01,28,0.28,70sfashion
2010-11-01,29,0.29,70sfashion
2010-12-01,17,0.17,70sfashion
2011-01-01,21,0.21,70sfashion
2011-02-01,43,0.43,70sfashion
2011-03-01,41,0.41,70sfashion
2011-04-01,38,0.38,70sfashion
2011-05-01,41,0.41,70sfashion
2011-06-01,33,0.33,70sfashion
2011-07-01,36,0.36,70sfashion
2011-08-01,32,0.32,70sfashion
2011-09-01,43,0.43,70sfashion
2011-10-01,38,0.38,70sfashion
2011-11-01,40,0.4,70sfashion
2011-12-01,33,0.33,70sfashion
2012-01-01,32,0.32,70sfashion
2012-02-01,37,0.37,70sfashion
2012-03-01,36,0.36,70sfashion
2012-04-01,33,0.33,70sfashion
2012-05-01,62,0.62,70sfashion
2012-06-01,36,0.36,70sfashion
2012-07-01,28,0.28,70sfashion
2012-08-01,27,0.27,70sfashion
2012-09-01,32,0.32,70sfashion
2012-10-01,38,0.38,70sfashion
2012-11-01,38,0.38,70sfashion
2012-12-01,30,0.3,70sfashion
2013-01-01,28,0.28,70sfashion
