Date,"Y2K"
2015-07,2978
2015-08,3093
2015-09,3494
2015-10,3303
2015-11,2579
2015-12,2981
2016-01,2879
2016-02,2244
2016-03,2316
2016-04,2265
2016-05,2466
2016-06,2018
2016-07,2333
2016-08,2267
2016-09,2299
2016-10,2346
2016-11,2059
2016-12,2371
2017-01,2596
2017-02,2106
2017-03,2314
2017-04,1849
2017-05,2256
2017-06,1994
2017-07,1988
2017-08,2113
2017-09,2080
2017-10,1735
2017-11,2523
2017-12,2977
2018-01,2147
2018-02,1528
2018-03,1977
2018-04,1854
2018-05,1812
2018-06,1640
2018-07,1761
2018-08,2295
2018-09,1891
2018-10,1716
2018-11,1670
2018-12,1833
2019-01,2099
2019-02,1533
2019-03,1775
2019-04,1496
2019-05,1335
2019-06,1280
2019-07,1509
2019-08,1701
2019-09,2048
2019-10,1746
2019-11,1631
2019-12,2201
2020-01,2115
2020-02,1726
2020-03,2350
2020-04,1854
2020-05,1656
2020-06,1389
2020-07,1274
2020-08,1216
2020-09,1297
2020-10,1264
2020-11,1185
2020-12,1059
2021-01,1263
2021-02,939
2021-03,1104
2021-04,1062
2021-05,1100
2021-06,1001
2021-07,1002
2021-08,1001
2021-09,1055
2021-10,1058
2021-11,1101
2021-12,1070
2022-01,1466
2022-02,1143
2022-03,1027
2022-04,1082
2022-05,1044
2022-06,985
2022-07,1133
2022-08,1224
2022-09,1214
2022-10,1186
2022-11,1183
2022-12,1286
2023-01,1537
2023-02,1201
2023-03,1234
2023-04,1064
2023-05,983
2023-06,1156
2023-07,1132
2023-08,1148
2023-09,1377
2023-10,2877
2023-11,2177
2023-12,2698
2024-01,4040
2024-02,2569
2024-03,2899
2024-04,2585
2024-05,2733
2024-06,2572
2024-07,3850
2024-08,4645
2024-09,4041
2024-10,3955
2024-11,7016
2024-12,33948
2025-01,16959
2025-02,8603
2025-03,7533
2025-04,11425
2025-05,9398
2025-06,8048
2025-07,7025
2025-08,5604
2025-09,2999
2025-10,2986
2025-11,2901
2025-12,3331
2026-01,3858
2026-02,2751
2026-03,2974
