trend,era,freq,date,period,raw,smoothed,normalised
Soft grunge,Tumblr (2012-2016),monthly,2012-06-01,0,0.0,0.0,0.0
Soft grunge,Tumblr (2012-2016),monthly,2012-07-01,1,0.0,16.428571428571438,0.18945634266886344
Soft grunge,Tumblr (2012-2016),monthly,2012-08-01,2,50.0,35.85714285714284,0.4135090609555189
Soft grunge,Tumblr (2012-2016),monthly,2012-09-01,3,50.0,60.028571428571404,0.6922570016474464
Soft grunge,Tumblr (2012-2016),monthly,2012-10-01,4,65.0,54.37142857142854,0.6270181219110378
Soft grunge,Tumblr (2012-2016),monthly,2012-11-01,5,43.0,51.65714285714283,0.5957166392092256
Soft grunge,Tumblr (2012-2016),monthly,2012-12-01,6,56.0,55.39999999999997,0.6388797364085667
Soft grunge,Tumblr (2012-2016),monthly,2013-01-01,7,75.0,74.48571428571425,0.858978583196046
Soft grunge,Tumblr (2012-2016),monthly,2013-02-01,8,78.0,70.5428571428571,0.8135090609555188
Soft grunge,Tumblr (2012-2016),monthly,2013-03-01,9,49.0,58.08571428571425,0.6698517298187808
Soft grunge,Tumblr (2012-2016),monthly,2013-04-01,10,59.0,57.88571428571426,0.6675453047775947
Soft grunge,Tumblr (2012-2016),monthly,2013-05-01,11,73.0,69.48571428571425,0.801317957166392
Soft grunge,Tumblr (2012-2016),monthly,2013-06-01,12,69.0,69.42857142857139,0.8006589785831959
Soft grunge,Tumblr (2012-2016),monthly,2013-07-01,13,66.0,69.68571428571425,0.8036243822075783
Soft grunge,Tumblr (2012-2016),monthly,2013-08-01,14,78.0,74.99999999999996,0.8649093904448104
Soft grunge,Tumblr (2012-2016),monthly,2013-09-01,15,76.0,74.97142857142853,0.8645799011532124
Soft grunge,Tumblr (2012-2016),monthly,2013-10-01,16,66.0,65.48571428571425,0.7551894563426688
Soft grunge,Tumblr (2012-2016),monthly,2013-11-01,17,66.0,76.37142857142854,0.8807248764415156
Soft grunge,Tumblr (2012-2016),monthly,2013-12-01,18,100.0,82.68571428571424,0.9535420098846786
Soft grunge,Tumblr (2012-2016),monthly,2014-01-01,19,71.0,86.17142857142854,0.9937397034596376
Soft grunge,Tumblr (2012-2016),monthly,2014-02-01,20,84.0,71.99999999999997,0.8303130148270181
Soft grunge,Tumblr (2012-2016),monthly,2014-03-01,21,67.0,77.11428571428569,0.8892915980230642
Soft grunge,Tumblr (2012-2016),monthly,2014-04-01,22,88.0,86.71428571428568,1.0
Soft grunge,Tumblr (2012-2016),monthly,2014-05-01,23,97.0,83.97142857142853,0.9683690280065897
Soft grunge,Tumblr (2012-2016),monthly,2014-06-01,24,59.0,79.05714285714282,0.9116968698517298
Soft grunge,Tumblr (2012-2016),monthly,2014-07-01,25,91.0,76.08571428571425,0.8774299835255354
Soft grunge,Tumblr (2012-2016),monthly,2014-08-01,26,76.0,81.31428571428567,0.9377265238879735
Soft grunge,Tumblr (2012-2016),monthly,2014-09-01,27,71.0,69.45714285714283,0.800988467874794
Soft grunge,Tumblr (2012-2016),monthly,2014-10-01,28,71.0,76.8285714285714,0.885996705107084
Soft grunge,Tumblr (2012-2016),monthly,2014-11-01,29,89.0,79.65714285714282,0.9186161449752882
Soft grunge,Tumblr (2012-2016),monthly,2014-12-01,30,70.0,76.94285714285712,0.8873146622734762
Soft grunge,Tumblr (2012-2016),monthly,2015-01-01,31,68.0,62.685714285714255,0.7228995057660625
Soft grunge,Tumblr (2012-2016),monthly,2015-02-01,32,56.0,61.828571428571394,0.7130148270181218
Soft grunge,Tumblr (2012-2016),monthly,2015-03-01,33,69.0,68.05714285714282,0.7848434925864909
