,longest_run_frac,longest_run_months,peak_width_frac,auc,frac_above_thresh,auc_frac,mean_raw,kurt,skewness,std_raw,q3_mean,n_peaks,peak_spacing_std,spectral_entropy,acf_lag12,q2_mean,seasonality,mean_peak_height,fall_slope,second_half_mean,peak_spacing_mean,decay_rate,q4_mean,acf_lag6,acf_lag1,linear_trend,first_half_mean,half_diff
Fairycore,0.12686567164179105,34,0.08955223880597014,31.189999999999998,0.16044776119402984,0.11638059701492537,11.682835820895523,2.710204312649597,1.913418715679574,22.431491143996528,0.008208955223880599,11,2.211334438749598,2.0246557800623086,0.6973513961568776,0.0,0.009224275737232925,0.6563636363636364,-0.014615384615384615,0.23365671641791042,5.9,0.020922209546826696,0.4591044776119403,0.8548052377774815,0.9496091388704127,0.0018585209785000063,0.0,0.23365671641791042
EMOfashio,0.08582089552238806,23,0.048507462686567165,31.450000000000003,0.11194029850746269,0.11735074626865673,11.746268656716419,5.355440357044239,2.2100235181962926,16.59647803276354,0.015970149253731344,8,3.1493439550069438,2.785910565801235,0.49919457990641625,0.09208955223880595,0.0031069499019065806,0.61375,-0.0038842975206611566,0.041194029850746265,5.285714285714286,0.026953320843211784,0.0664179104477612,0.7117628918526496,0.788874279284129,-0.0010461164791305993,0.1937313432835821,-0.15253731343283583
Bomber jacket,0.07835820895522388,21,0.17164179104477612,67.55499999999999,0.30970149253731344,0.25207089552238804,25.317164179104477,-0.197957921114416,0.7841273035523944,21.985242764654803,0.42313432835820886,20,2.3478640024416273,2.1142728551846046,0.8392183503858088,0.11432835820895522,0.06332956435965206,0.579,-0.003416666666666667,0.4317910447761194,6.473684210526316,2.4885708857711573e-15,0.44044776119402984,0.8018809230575726,0.9512949710304422,0.0021827820506506346,0.07455223880597013,0.3572388059701493
y2kaesthetic,0.13059701492537312,35,0.055970149253731345,30.225000000000005,0.1791044776119403,0.11277985074626867,11.313432835820896,1.5789911261264047,1.5506028673666186,19.472681940271645,0.0426865671641791,12,2.937362622073366,1.9691974349844283,0.7971571729887917,0.0019402985074626867,0.0044661824405833345,0.5716666666666667,-0.405,0.22305970149253734,5.909090909090909,0.0,0.4034328358208956,0.864428309680933,0.8940800398667508,0.0017299368410027885,0.003208955223880597,0.21985074626865675
disco fashion,0.11194029850746269,30,0.16417910447761194,88.02000000000001,0.582089552238806,0.32843283582089555,32.86940298507463,0.07507682242150171,-0.07911605878246042,19.678235297396274,0.42970149253731343,46,3.3241354580115834,3.860710878211036,0.2426416393344383,0.3435820895522388,0.043647482857086015,0.533695652173913,-0.011168831168831168,0.3877611940298508,5.288888888888889,0.005089101976707448,0.3458208955223881,0.3567347770410051,0.5183436983938949,0.0008896466250677193,0.2696268656716418,0.11813432835820903
Cottagecore,0.10074626865671642,27,0.08208955223880597,29.625000000000004,0.12313432835820895,0.11054104477611941,11.093283582089553,4.219087209307478,2.135788976304687,21.199537793332297,0.035671641791044775,9,5.3091901453988255,2.1981955626553344,0.6521880902531592,0.0,0.004150407794255436,0.6733333333333333,-0.012153846153846154,0.22097014925373135,8.25,0.026664062972789917,0.4062686567164179,0.8412486171181144,0.9209059691484843,0.0016620678820508377,0.0008955223880597015,0.22007462686567164
Euphoriafashion,0.014925373134328358,4,0.011194029850746268,5.63,0.014925373134328358,0.021007462686567165,2.1305970149253732,53.37802374149241,6.517449422189931,9.306238700358529,0.014328358208955224,1,0.0,4.177475253400511,0.2624116434139185,0.0,0.06192082892562316,1.0,-0.0168,0.04261194029850746,0.0,0.6008077473093897,0.07089552238805971,0.1339789846503187,0.6564326653453103,0.0003127121586836296,0.0,0.04261194029850746
mini skirts,0.10820895522388059,29,0.09701492537313433,44.8109756097561,0.13059701492537312,0.16720513287222424,31.817164179104477,3.8623738988901826,2.073583018901641,14.980340480554629,0.10211139424827083,10,70.29742808283763,2.4289197549847437,0.8876756526248764,0.09428467419002548,0.011332098163989834,0.6317073170731706,-0.003796146910885451,0.08481980342191482,29.22222222222222,0.02136780513292748,0.06752821259555879,0.877470818021498,0.896022559795195,-0.001594902630962688,0.2521842009464871,-0.16736439752457227
PENDULUMTOPS,0.13059701492537312,35,0.07462686567164178,53.67,0.19776119402985073,0.20026119402985076,20.08582089552239,1.4742347752988847,1.055501496759692,19.76928740056481,0.24925373134328357,15,15.31189346987018,2.252179813881267,0.6154219246993636,0.2822388059701493,0.01233022543164548,0.4973333333333334,-0.0042499999999999994,0.2605970149253731,9.214285714285714,0.007142881961714267,0.2719402985074627,0.7660554836808023,0.9644386089213808,0.0012221119455976036,0.14111940298507467,0.11947761194029846
chokers,0.07462686567164178,20,0.033582089552238806,39.375,0.07835820895522388,0.14692164179104478,14.73134328358209,9.191761597987583,2.573219797431472,14.331972491915481,0.28731343283582095,3,44.0,2.2650191578932644,0.4895594834112354,0.07134328358208954,0.008317283708279447,0.5866666666666666,-0.0075,0.23835820895522386,55.0,0.012995880409750067,0.18940298507462686,0.7512646692716666,0.9646137659965152,0.0009148422708312163,0.056268656716417904,0.18208955223880596
Cleangirl,0.13059701492537312,35,0.08208955223880597,22.88,0.16417910447761194,0.0853731343283582,8.604477611940299,3.155677110663124,2.054995613879354,19.141273159326328,0.0,10,1.632993161855452,2.159003675291369,0.7557814416529262,0.0,0.004546575495763014,0.5919999999999999,-0.014222222222222223,0.17208955223880595,4.666666666666667,0.002420573732440803,0.3441791044776119,0.8058817997550237,0.9519626122836882,0.0015734015275113509,0.0,0.17208955223880595
Darkacademia,0.10820895522388059,29,0.05223880597014925,28.345000000000002,0.14925373134328357,0.10576492537313434,10.60820895522388,2.539935074990175,1.7288211840838474,18.579785791976736,0.02686567164179104,11,3.047950130825634,1.8377511577513583,0.7636151409250053,0.0,0.015269633230708712,0.509090909090909,-0.013174603174603174,0.21216417910447766,6.1,0.013773235217301524,0.3974626865671642,0.8246612266705874,0.9727608990042348,0.0016569495781607396,0.0,0.21216417910447766
Normcore,0.041044776119402986,11,0.014925373134328358,26.465,0.055970149253731345,0.09875,9.914179104477611,9.631116427215025,2.4414702747948986,13.413212760742168,0.11552238805970148,6,40.68709869233736,3.138777368364547,0.404904048106718,0.09283582089552239,0.02686545315866335,0.5916666666666667,-0.0054482758620689655,0.15186567164179107,28.6,0.004544888080102027,0.18820895522388062,0.6260131756172499,0.8334372070576715,0.0009421388525398568,0.046417910447761196,0.10544776119402988
Bikeshorts,0.018656716417910446,5,0.014925373134328358,45.345,0.06343283582089553,0.16919776119402985,16.97761194029851,8.34224822188945,1.83743797053807,12.551366945779995,0.23179104477611945,6,4.833218389437829,2.857444612154663,0.6958099058606345,0.15402985074626863,0.3001863243693536,0.48333333333333334,-0.009718309859154929,0.2346268656716418,13.8,0.011906608689360724,0.23746268656716418,0.09117982216272927,0.8557127127055595,0.0009655764450792275,0.10492537313432834,0.12970149253731345
tiedye,0.018656716417910446,5,0.018656716417910446,28.67857142857143,0.029850746268656716,0.10700959488272922,12.503731343283581,16.712950760646315,3.3421175598159256,12.388758184768133,0.14757843435881815,3,20.5,3.019770965213231,0.5380905452486581,0.09823332318001828,0.11520904769960486,0.608843537414966,-0.01322219028456453,0.1575540664026805,34.5,0.041233135411432684,0.1675296984465428,0.40659362418195627,0.8877106888444559,0.0007656558437400357,0.05680779774596406,0.10074626865671643
SKINNYJEANS,0.5,134,0.40298507462686567,112.845,0.6268656716417911,0.42106343283582087,42.17164179104478,-0.32949800421335596,-0.050620669301959825,21.08494763350166,0.645820895522388,35,4.741501229572191,1.234215471083677,0.8949840923268384,0.46179104477611943,0.06042593099419136,0.6102857142857143,-0.005803571428571429,0.5298507462686567,6.4411764705882355,0.008393388779413147,0.41388059701492536,0.80800281566168,0.9435563235076796,0.001383151491196953,0.3135820895522388,0.21626865671641787
jeggins,0.5671641791044776,152,0.48507462686567165,116.38499999999999,0.6604477611940298,0.4342723880597015,43.52238805970149,-1.1016647395999082,-0.28316421672937714,29.095241550197432,0.6888059701492537,36,1.9616735878596427,1.2329775441987816,0.8882521191941961,0.41641791044776116,0.027347290989452974,0.6708333333333332,-0.007424242424242424,0.6568656716417911,5.542857142857143,0.012009561308312782,0.6249253731343283,0.8843629974180411,0.9664140244076913,0.0029238482413545233,0.21358208955223879,0.4432835820895523
INDIE,0.19776119402985073,53,0.19776119402985073,71.44999999999999,0.3208955223880597,0.2666044776119403,26.686567164179106,-0.17014350562662228,0.8849658982818057,22.482802021169444,0.1419402985074627,20,1.5842017835044642,2.2385169810608545,0.6739710647043488,0.40641791044776127,0.0014950926648794856,0.64,-0.003805309734513274,0.12917910447761197,5.2631578947368425,0.011200844196525842,0.1164179104477612,0.8054031163200325,0.8261090866752239,-0.0014605245357523814,0.4045522388059701,-0.2753731343283581
Tumblr Grunge,0.17164179104477612,46,0.12313432835820895,40.46,0.17164179104477612,0.15097014925373134,15.097014925373134,2.1355048963963927,1.8034406897632442,25.887780037470073,0.37656716417910446,10,1.3333333333333333,1.3435846934016333,0.8208484700393779,0.22238805970149253,0.000985717748327326,0.6719999999999999,-0.008130081300813009,0.1907462686567164,4.666666666666667,0.0613338719199108,0.004925373134328359,0.936198380044456,0.9910078511944073,0.00016626694853704422,0.11119402985074626,0.07955223880597014
ripepdjeans,0.35447761194029853,95,0.26492537313432835,76.95500000000001,0.376865671641791,0.28714552238805974,28.77238805970149,-0.8843647738721634,0.6464059933994722,26.661302640273888,0.66,24,1.3707724148203868,0.7854145495877709,0.9030711425985756,0.12671641791044777,0.00280810120664703,0.6266666666666667,-0.007222222222222223,0.49694029850746263,4.6521739130434785,0.01330785607012896,0.33388059701492534,0.9531420523849913,0.9812220376813904,0.001986896269248968,0.07850746268656716,0.41843283582089547
flaredjeans,0.16417910447761194,44,0.1417910447761194,51.760000000000005,0.24253731343283583,0.19313432835820898,19.44402985074627,1.1852851471489316,1.4872850431562998,23.078884874358316,0.13402985074626866,11,2.6851443164195103,2.028654260365828,0.9434466566073572,0.05298507462686567,0.033821577507640366,0.6518181818181819,-0.07500000000000001,0.34440298507462686,6.3,0.0,0.5547761194029851,0.8909493089246667,0.9664216445415367,0.0024323133923133174,0.044477611940298506,0.2999253731343283
