trend,cluster,true_label
70sfashion,2,Mega
Bikeshorts,1,Macro
Bomber jacket,1,Macro
Brat summer,0,Micro
BuisnessCausal,0,Micro
Cleangirl,1,Macro
Cottagecore,1,Macro
Darkacademia,1,Macro
EMOfashio,1,Macro
Euphoriafashion,0,Micro
Fairycore,1,Macro
INDIE,1,Mega
MAXI dress,2,Mega
MOMJEANS,1,Mega
Normcore,1,Macro
PENDULUMTOPS,1,Mega
Pastelgrunge,1,Micro
SCENEFASHION,0,Macro
SKINNYJEANS,2,Mega
Skaterfashion,1,Mega
TUMBLR,1,Macro
Tumblr Grunge,1,Macro
barbiecore,0,Micro
bimbocore,0,Micro
blokecore,0,Micro
boyfriend jeans,2,Mega
chokers,1,Macro
chunkyshoes,1,Macro
coastalgrandmother,0,Micro
disco fashion,2,Mega
flaredjeans,1,Macro
galaxyprint,0,Micro
goblincore,1,Micro
hipster fashion,1,Macro
ivyleague,0,Micro
jeggins,2,Mega
mini skirts,1,Macro
officesiren,1,Micro
ripepdjeans,2,Macro
softgirlaesthetic,1,Micro
streetwear,2,Mega
teddycoat,1,Macro
tiedye,1,Macro
vsco,0,Micro
y2kaesthetic,1,Micro
